Omega, iterations to converge (20 trials)
0.50, 233, 278, 271, 245, 265, 197, 197, 272, 218, 273, 236, 266, 240, 248, 228, 239, 224, 240, 218, 258
0.53, 173, 215, 114, 207, 204, 238, 249, 168, 243, 228, 240, 235, 234, 224, 241, 225, 243, 215, 231, 241
0.55, 221, 199, 222, 225, 225, 192, 224, 226, 219, 223, 217, 210, 194, 224, 217, 174, 198, 230, 236, 233
0.58, 155, 176, 197, 202, 179, 208, 225, 218, 213, 174, 182, 223, 212, 147, 194, 214, 210, 218, 213, 212
0.61, 205, 177, 182, 199, 203, 148, 211, 171, 198, 186, 145, 188, 208, 213, 188, 166, 180, 142, 190, 191
0.64, 144, 172, 201, 189, 196, 167, 174, 183, 154, 177, 191, 181, 181, 154, 183, 165, 181, 182, 182, 194
0.67, 165, 180, 155, 164, 172, 170, 148, 176, 135, 171, 151, 168, 170, 149, 164, 180, 170, 144, 164, 178
0.70, 152, 142, 141, 147, 155, 127, 164, 164, 156, 147, 142, 155, 167, 149, 154, 96, 140, 166, 155, 152
0.74, 120, 119, 137, 138, 129, 123, 143, 132, 155, 153, 135, 140, 141, 138, 141, 148, 126, 153, 143, 126
0.78, 144, 113, 103, 115, 130, 123, 126, 140, 133, 141, 137, 134, 128, 135, 142, 112, 125, 129, 133, 137
0.81, 129, 131, 117, 121, 116, 121, 135, 132, 115, 102, 100, 125, 123, 115, 118, 126, 111, 124, 103, 128
0.86, 119, 112, 114, 106, 114, 126, 85, 114, 92, 118, 106, 107, 100, 115, 117, 123, 116, 114, 106, 115
0.90, 102, 98, 88, 101, 105, 117, 110, 93, 100, 95, 96, 103, 91, 107, 100, 100, 106, 101, 100, 106
0.94, 100, 75, 101, 71, 91, 96, 100, 101, 98, 99, 94, 92, 100, 93, 95, 99, 91, 101, 95, 106
0.99, 92, 78, 91, 71, 85, 90, 80, 87, 94, 81, 78, 84, 94, 82, 96, 93, 82, 75, 61, 51
1.04, 71, 76, 80, 73, 81, 77, 85, 80, 72, 85, 82, 48, 86, 69, 73, 76, 58, 77, 72, 74
1.09, 69, 77, 70, 76, 72, 75, 75, 75, 70, 68, 76, 59, 75, 71, 67, 75, 78, 62, 70, 72
1.15, 64, 72, 59, 63, 57, 68, 30, 68, 67, 58, 65, 68, 64, 61, 65, 63, 69, 59, 71, 65
1.20, 36, 48, 28, 39, 48, 46, 62, 62, 58, 52, 53, 56, 61, 59, 42, 53, 61, 49, 61, 55
1.26, 46, 47, 47, 37, 50, 40, 34, 53, 49, 53, 55, 49, 47, 49, 47, 47, 49, 37, 47, 49
1.33, 38, 41, 43, 42, 46, 36, 41, 44, 18, 40, 36, 35, 41, 39, 38, 39, 37, 45, 43, 45
1.39, 38, 38, 38, 38, 34, 32, 36, 35, 34, 38, 31, 37, 38, 34, 33, 36, 36, 37, 34, 32
1.46, 27, 26, 27, 26, 29, 26, 27, 28, 30, 27, 25, 28, 28, 27, 23, 26, 28, 29, 25, 23
1.54, 26, 26, 27, 27, 27, 27, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 27, 26, 26
1.61, 33, 32, 33, 32, 32, 32, 32, 32, 32, 32, 33, 32, 33, 32, 34, 33, 32, 33, 33, 33
1.69, 41, 42, 41, 42, 42, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 41, 41, 41, 41, 41
1.78, 59, 60, 59, 59, 60, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 58, 59, 58, 59, 60
1.87, 101, 101, 104, 101, 103, 103, 102, 102, 102, 100, 103, 102, 101, 101, 102, 101, 101, 101, 101, 102
1.96, 347, 350, 350, 350, 349, 349, 352, 351, 345, 352, 352, 350, 349, 349, 346, 346, 349, 348, 349, 349
2.06, 48
2.16, 17
2.27, 9
2.38, 4
2.50, 2
2.63, 3
2.76, 2
2.90, 1
3.04, 1
3.19, 1
3.35, 1
3.52, 1
3.70, 1
3.88, 1
4.07, 1
4.28, 1
4.49, 1
4.72, 1
4.95, 1
5.20, 1
5.46, 1
5.73, 1
6.02, 1
6.32, 1
6.64, 1
6.97, 1
7.32, 1
7.68, 1
8.07, 1
8.47, 1
8.89, 1
9.34, 1
9.81, 1
10.30, 1
10.81, 1
11.35, 1
11.92, 1
12.52, 1
13.14, 1
13.80, 1
14.49, 1
15.21, 1
15.97, 1
16.77, 1
17.61, 1
18.49, 1
19.42, 1
20.39, 1
21.41, 1
22.48, 1
23.60, 1
24.78, 1
26.02, 1
27.32, 1
28.69, 1
30.12, 1
31.63, 1
33.21, 1
34.87, 1
36.61, 1
38.44, 1
40.37, 1
42.38, 1
44.50, 1
46.73, 1
49.06, 1
51.52, 1
54.09, 1
56.80, 1
59.64, 1
62.62, 1
65.75, 1
69.04, 1
72.49, 1
76.11, 1
79.92, 1
83.92, 1
88.11, 1
92.52, 1
97.14, 1
102.00, 1
107.10, 1
112.46, 1
118.08, 1
123.98, 1
130.18, 1
136.69, 1
143.53, 1
150.70, 1
158.24, 1
166.15, 1
174.46, 1
183.18, 1
192.34, 1
201.95, 1
212.05, 1
222.65, 1
233.79, 1
245.48, 1
257.75, 1
270.64, 1
284.17, 1
298.38, 1
313.30, 1
328.96, 1
345.41, 1
362.68, 1
380.82, 1
399.86, 1
419.85, 1
440.84, 1
462.88, 1
486.03, 1
510.33, 1
535.85, 1
562.64, 1
590.77, 1
620.31, 1
651.32, 1
683.89, 1
718.08, 1
