Omega, iterations to converge (10 trials)
0.08, 74081, 82061, 54990, 93594, 72922, 81257, 86892, 67092, 68882, 90051
0.08, 64167, 72517, 85214, 62398, 54264, 55700, 78266, 82887, 82665, 84558
0.09, 39850, 83112, 66238, 88006, 48001, 62706, 74220, 94891, 64314, 81372
0.09, 82846, 66044, 58012, 58377, 65075, 40864, 48635, 60014, 71125, 62250
0.10, 34105, 70699, 36638, 53175, 68131, 63745, 31713, 57452, 66471, 67688
0.10, 52301, 50641, 71379, 69159, 62181, 40868, 56894, 71123, 55799, 72479
0.11, 39499, 35754, 36248, 64356, 64402, 46116, 55656, 55639, 59844, 67296
0.11, 59022, 60880, 66073, 68337, 54478, 61105, 55144, 26497, 36240, 63401
0.12, 61801, 38914, 50899, 40479, 57832, 21955, 39852, 47627, 58021, 43987
0.12, 27657, 49140, 52499, 47020, 53033, 32852, 44845, 42344, 50310, 42173
0.13, 52212, 41158, 59049, 51640, 50106, 53457, 37937, 45105, 31417, 48272
0.14, 32936, 28480, 55377, 49844, 52200, 33815, 38670, 32258, 35106, 35108
0.14, 21756, 48524, 40871, 43709, 37610, 47992, 35589, 40891, 25985, 33989
0.15, 37113, 48848, 22451, 47321, 37717, 47755, 47638, 44111, 42362, 27607
0.16, 35045, 47910, 36429, 23244, 38179, 32583, 34523, 35209, 15269, 44562
0.17, 38949, 40349, 25700, 36542, 21701, 31034, 25972, 39358, 38486, 46876
0.17, 41900, 31474, 34000, 41736, 19010, 36233, 26577, 34140, 24786, 28009
0.18, 35816, 22812, 41179, 32226, 17551, 33084, 24020, 29157, 34878, 18903
0.19, 37699, 29118, 27204, 22257, 21696, 37058, 18970, 37808, 36943, 36285
0.20, 15095, 29187, 32074, 33343, 34885, 13958, 29145, 21196, 25763, 24730
