Omega, iterations to converge (20 trials)
0.40, 936, 1135, 1190, 913, 1278, 1138, 1071, 1258, 1136, 1176, 1210, 1162, 1250, 1137, 1281, 1192, 1072, 1215, 1199, 809
0.42, 801, 1125, 1258, 1177, 1223, 1096, 849, 1144, 1014, 1225, 1023, 984, 929, 1056, 1012, 1081, 1183, 913, 1089, 1226
0.44, 763, 1091, 1067, 1050, 1087, 885, 948, 1041, 927, 862, 1158, 1109, 768, 1115, 1121, 1039, 959, 817, 1052, 952
0.46, 985, 1011, 668, 963, 822, 1009, 956, 1047, 996, 999, 1023, 1056, 775, 1015, 1049, 972, 1000, 971, 1034, 1016
0.49, 860, 935, 944, 876, 1078, 765, 880, 914, 874, 837, 867, 1023, 805, 805, 852, 1000, 696, 745, 824, 1025
0.51, 786, 628, 842, 986, 739, 805, 819, 967, 985, 931, 865, 670, 844, 961, 880, 915, 853, 862, 810, 669
0.54, 836, 864, 722, 826, 523, 799, 852, 809, 711, 815, 748, 681, 732, 927, 877, 885, 832, 859, 861, 823
0.56, 509, 798, 548, 700, 778, 716, 832, 844, 837, 754, 768, 851, 755, 847, 810, 767, 715, 790, 857, 805
0.59, 502, 414, 739, 598, 768, 824, 459, 739, 598, 708, 685, 726, 747, 723, 729, 681, 759, 425, 728, 787
0.62, 679, 560, 670, 722, 677, 488, 626, 732, 704, 646, 611, 659, 680, 648, 667, 770, 653, 653, 724, 667
0.65, 666, 652, 604, 521, 702, 671, 609, 646, 649, 657, 634, 676, 357, 493, 483, 638, 668, 688, 533, 590
0.68, 504, 516, 517, 468, 502, 405, 595, 468, 597, 637, 594, 540, 475, 641, 617, 555, 487, 644, 624, 582
0.72, 610, 501, 469, 309, 558, 476, 545, 504, 510, 586, 457, 382, 543, 451, 585, 595, 558, 510, 473, 505
0.75, 404, 559, 479, 483, 310, 449, 573, 435, 420, 428, 408, 455, 438, 545, 515, 544, 408, 390, 522, 524
0.79, 352, 244, 454, 465, 363, 521, 460, 311, 406, 534, 406, 414, 444, 365, 417, 498, 519, 469, 475, 496
