Omega, iterations to converge (20 trials)
1.00, 1197, 1073, 778, 1021, 853, 465, 954, 1115, 991, 653, 981, 995, 1066, 1017, 478, 1198, 980, 1075, 1025, 1035
1.05, 952, 941, 724, 536, 791, 1020, 1097, 819, 984, 878, 988, 674, 779, 939, 972, 789, 1124, 1091, 943, 1060
1.10, 971, 845, 755, 732, 742, 609, 845, 873, 791, 832, 863, 847, 954, 686, 1014, 853, 481, 758, 976, 745
1.16, 774, 892, 900, 829, 793, 611, 865, 654, 735, 808, 701, 895, 894, 721, 525, 596, 831, 845, 757, 828
1.22, 431, 650, 755, 725, 624, 627, 665, 716, 706, 723, 752, 754, 646, 666, 697, 726, 748, 588, 770, 715
1.28, 674, 597, 668, 536, 603, 288, 586, 563, 646, 594, 592, 615, 610, 583, 529, 663, 673, 616, 555, 613
1.34, 643, 453, 529, 491, 424, 373, 603, 520, 579, 604, 537, 598, 629, 601, 395, 443, 545, 592, 556, 505
1.41, 460, 436, 513, 462, 244, 514, 540, 545, 518, 406, 496, 396, 451, 464, 446, 489, 491, 452, 418, 481
1.48, 310, 409, 466, 387, 419, 281, 309, 421, 459, 451, 318, 391, 413, 270, 403, 407, 349, 453, 405, 452
1.55, 306, 340, 333, 333, 365, 309, 382, 299, 350, 163, 164, 358, 280, 310, 296, 342, 346, 349, 352, 293
1.63, 179, 297, 262, 289, 268, 248, 295, 243, 236, 313, 270, 268, 255, 208, 237, 259, 222, 261, 224, 290
1.71, 206, 195, 180, 206, 212, 211, 211, 178, 189, 202, 233, 165, 202, 167, 198, 212, 146, 179, 212, 184
1.80, 140, 154, 127, 138, 98, 130, 124, 152, 137, 114, 151, 113, 148, 136, 132, 130, 115, 108, 127, 148
1.89, 133, 133, 133, 133, 134, 133, 134, 134, 133, 133, 133, 133, 133, 134, 133, 134, 134, 133, 134, 132
1.98, 771, 771, 771, 768, 769, 769, 769, 769, 768, 770, 772, 772, 769, 768, 768, 766, 772, 769, 768, 771
2.08, 13
2.18, 2
2.29, 1
2.41, 1
2.53, 1
2.65, 1
2.79, 1
2.93, 1
3.07, 1
3.23, 1
3.39, 1
3.56, 1
3.74, 1
3.92, 1
4.12, 1
4.32, 1
4.54, 1
4.77, 1
5.01, 1
5.26, 1
5.52, 1
5.80, 1
6.09, 1
6.39, 1
6.71, 1
7.04, 1
7.40, 1
7.77, 1
8.15, 1
8.56, 1
8.99, 1
9.44, 1
9.91, 1
10.41, 1
10.93, 1
11.47, 1
12.05, 1
12.65, 1
13.28, 1
13.95, 1
14.64, 1
15.38, 1
16.15, 1
16.95, 1
17.80, 1
18.69, 1
19.63, 1
20.61, 1
21.64, 1
22.72, 1
23.86, 1
25.05, 1
26.30, 1
27.62, 1
29.00, 1
30.45, 1
31.97, 1
33.57, 1
35.24, 1
37.01, 1
38.86, 1
40.80, 1
42.84, 1
44.98, 1
47.23, 1
49.59, 1
52.07, 1
54.68, 1
57.41, 1
60.28, 1
63.29, 1
66.46, 1
69.78, 1
73.27, 1
76.94, 1
80.78, 1
84.82, 1
89.06, 1
93.52, 1
98.19, 1
103.10, 1
108.26, 1
113.67, 1
119.35, 1
125.32, 1
131.59, 1
138.16, 1
145.07, 1
152.33, 1
159.94, 1
167.94, 1
176.34, 1
185.15, 1
194.41, 1
204.13, 1
214.34, 1
225.06, 1
236.31, 1
248.12, 1
260.53, 1
273.56, 1
287.23, 1
