
200, 121962, 176368
400, 460414, 841134
600, 1035154, 1443922
800, 1834780, 2640036
1000, 2861208, 3914726
1200, 4175288, 7487476
1400, 5724472, 9337116
1600, 8033148, 13741194
1800, 9423048, 15771610
2000, 12413602, 19902504
2200, 14373514, 23768098
2400, 17126026, 30338660
2600, 20157876, 33398340
2800, 23723240, 41274854
3000, 27132788, 45167716
3200, 30712010, 62193790
3400, 33803484, 60090980
3600, 38521154, 65959284
3800, 42399720, 77206914
4000, 47906234, 88417004
4200, 52181692, 89556570
4400, 57233586, 113872330
4600, 62454020, 107488268
4800, 69193134, 136693596
5000, 76556642, 131980706
5200, 80427712, 150234054
5400, 86276400, 149344694
5600, 93531176, 179702984
5800, 98387960, 192839076
6000, 109211060, 195978998
