
200, 67688, 184468
400, 196278, 613116
600, 404576, 1184176
800, 695596, 1435280
1000, 1047462, 1984430
1200, 1318618, 2800624
1400, 1753568, 4269874
1600, 2298182, 10044296
1800, 2844532, 7918254
2000, 3446138, 9383820
2200, 4243700, 11776940
2400, 5225636, 22022854
2600, 6487880, 17128580
2800, 7519454, 20269016
3000, 8063590, 21707912
3200, 8984094, 44841944
3400, 10172200, 28834538
3600, 11231286, 32434492
3800, 12378892, 37679170
4000, 14496534, 68070590
4200, 16274244, 51356640
4400, 16596226, 67745672
4600, 18121850, 79251246
4800, 20549634, 100732856
5000, 22495912, 99738540
5200, 23159696, 109807328
5400, 26584708, 113602416
5600, 28765532, 133705292
5800, 29621726, 141404180
6000, 31160920, 147864514
