
200, 79282, 101468
400, 281970, 376386
600, 637614, 762942
800, 1118516, 1338446
1000, 2341796, 2090886
1200, 2678902, 2845500
1400, 3476580, 4475850
1600, 4654862, 9246044
1800, 5645418, 8344168
2000, 7549626, 11133886
2200, 8585038, 14103798
2400, 10370258, 23777324
2600, 12033940, 19345036
2800, 14176510, 23534956
3000, 16062576, 24894716
3200, 18014380, 44240850
3400, 20016970, 33076208
3600, 24603970, 37527278
3800, 27231064, 42276406
4000, 29154598, 65232738
4200, 31197136, 53567546
4400, 35702022, 70237340
4600, 36649182, 80991904
4800, 41269266, 100438122
5000, 46494538, 99570028
5200, 49286710, 109779134
5400, 51966944, 113490430
5600, 56979744, 136587634
5800, 60965986, 142659192
6000, 64980394, 147671546
