
200, 127612, 144328
400, 502894, 559346
600, 1103568, 1140858
800, 1895640, 2095584
1000, 2883672, 3368414
1200, 4180928, 4462936
1400, 5724016, 6552618
1600, 7492858, 9184928
1800, 9280330, 11399612
2000, 12444874, 16020384
2200, 14139852, 18849212
2400, 17157744, 22782646
2600, 19286878, 25599130
2800, 22756354, 30819944
3000, 26259326, 34127102
3200, 29755286, 45144916
3400, 32946450, 44750096
3600, 38425946, 50140614
3800, 41042580, 57212370
4000, 46974942, 67020050
4200, 52861230, 67302708
4400, 55775582, 78022098
4600, 61673670, 81345288
4800, 67268906, 102751870
5000, 73174638, 101164912
5200, 78984982, 109662944
5400, 84363224, 113941354
5600, 91944194, 135155350
5800, 98052396, 140142118
6000, 104715462, 144824818
