
8, 1264, 707
16, 1244, 1058
24, 1821, 1812
32, 2891, 2920
40, 4289, 4303
48, 5985, 6000
56, 8024, 8021
64, 10480, 42525
72, 13145, 13461
80, 16042, 16474
88, 19264, 47371
96, 23150, 22895
104, 26920, 26726
112, 31407, 30948
120, 35783, 35417
128, 40260, 40283
136, 45387, 76029
144, 50874, 85613
152, 56657, 137396
160, 62785, 154715
168, 69321, 122690
176, 75910, 167918
184, 82844, 119303
192, 90137, 90781
200, 127237, 100221
208, 142288, 109692
216, 113897, 118595
224, 122609, 126324
232, 132231, 137636
240, 140623, 148941
248, 209849, 159259
256, 159726, 268922
264, 240763, 181247
272, 180235, 193780
280, 190895, 266367
288, 201915, 217732
296, 273928, 304004
304, 224837, 412040
312, 236793, 302942
320, 249014, 304633
