
2, 1531, 896
4, 841, 945
6, 959, 910
8, 971, 959
10, 1087, 1113
12, 1191, 1360
14, 1386, 1415
16, 1641, 1658
18, 1873, 1890
20, 2175, 2154
22, 2482, 2467
24, 2821, 2815
26, 3201, 3195
28, 3598, 3598
30, 4048, 4045
32, 4509, 4515
34, 5011, 5019
36, 5539, 5547
38, 6101, 6101
40, 6704, 6699
42, 7316, 7337
44, 7989, 7977
46, 8650, 8668
48, 9367, 9369
50, 10118, 10106
52, 10886, 10889
54, 11695, 11701
56, 12525, 12528
58, 13392, 13380
60, 14294, 14297
62, 15207, 15219
64, 16153, 16161
66, 17173, 17162
68, 18168, 18168
70, 19209, 19290
72, 20300, 20311
74, 21396, 21407
76, 22556, 22544
78, 23733, 23756
80, 24948, 24954
