size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
16, 43.393907, 40.862596, 37.427245, 35.799973, 59.124198, 50.264609, 52.615112, 60.932278
32, 16.091907, 15.278271, 15.187867, 17.357563, 35.980781, 19.708066, 20.612106, 22.872205
48, 11.390901, 10.366322, 10.426592, 10.667669, 21.636684, 13.018172, 14.163289, 15.127598
64, 8.995195, 8.000752, 9.402013, 7.819944, 16.408321, 8.995195, 9.040397, 12.385344
80, 7.521611, 6.762217, 6.472924, 6.255955, 13.343626, 6.943025, 7.847065, 9.329690
96, 6.689894, 5.815989, 5.605046, 5.876258, 5.936528, 5.725585, 6.026932, 8.076088
112, 6.147470, 5.062622, 4.933474, 4.752666, 4.959304, 4.830155, 5.553387, 7.335637
128, 5.695450, 4.701007, 4.497598, 4.361992, 4.316790, 4.339391, 4.610603, 5.740652
144, 5.323790, 4.198762, 4.098313, 3.917506, 3.937595, 3.897416, 4.359480, 5.544777
160, 4.990299, 4.194744, 3.833128, 3.634240, 3.507674, 3.507674, 3.507674, 5.062622
