size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
14, 52.279500, 42.980774, 42.774136, 40.707753, 70.876950, 68.190652, 59.098565, 67.157460
28, 17.770897, 17.770897, 17.564259, 20.043919, 40.087838, 22.110302, 23.143494, 25.726473
42, 12.467180, 11.985024, 13.982528, 11.433988, 26.587466, 14.533563, 14.326925, 17.357620
56, 9.970300, 9.195406, 9.040427, 9.505364, 18.907408, 10.641874, 10.900172, 13.431492
70, 8.348189, 7.397653, 7.108359, 7.686946, 343.556901, 8.141551, 10.083951, 11.365109
84, 7.266782, 6.233590, 6.268030, 5.923632, 6.887945, 6.956824, 8.851009, 9.160966
98, 6.612427, 5.608755, 5.490676, 5.372597, 5.756354, 5.933472, 7.438980, 8.088415
112, 6.070001, 5.191788, 4.907661, 4.701022, 5.010980, 6.483278, 6.379959, 7.361491
126, 5.716994, 4.752682, 4.477164, 4.546043, 4.569003, 5.739954, 5.923632, 6.750186
140, 5.372597, 4.256750, 4.153431, 4.360069, 4.132767, 5.124631, 6.137159, 5.558571
