size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
64, 13.831778, 10.396434, 9.899214, 10.260829, 15.685055, 13.605768, 12.656529, 15.685055
128, 5.921447, 4.610593, 4.678395, 4.361982, 9.288988, 5.107813, 5.311222, 5.966649
192, 4.685929, 3.480545, 3.510680, 3.194267, 5.996784, 3.058661, 3.058661, 3.962699
256, 4.045569, 2.892921, 2.825118, 2.791217, 4.723597, 2.248794, 2.214893, 3.005926
320, 3.706555, 2.549387, 2.793477, 2.269135, 3.941605, 1.799035, 1.898479, 2.377619
384, 3.480545, 2.312830, 2.275162, 2.056686, 1.717672, 1.589600, 1.566999, 1.936148
448, 3.319110, 2.169691, 2.130946, 1.898479, 1.517492, 1.349599, 1.343142, 1.775788
512, 3.226285, 2.073637, 2.017134, 1.785475, 1.327805, 1.192200, 1.197850, 1.525564
576, 3.128975, 1.958748, 1.928614, 1.717672, 1.235518, 1.104935, 1.084845, 1.386191
640, 3.069208, 1.912040, 1.848757, 1.604667, 1.143608, 0.998962, 0.994442, 1.256612
704, 3.007980, 1.824513, 1.799857, 1.565629, 1.056080, 0.920475, 0.924584, 1.154703
768, 2.953190, 1.789241, 1.751573, 1.502963, 0.990675, 0.866370, 0.847535, 1.092379
832, 2.906829, 1.724626, 1.710718, 1.484708, 0.942286, 0.806680, 0.785817, 1.001396
896, 2.870320, 1.695071, 1.688613, 1.449689, 0.897580, 0.749060, 0.749060, 0.907266
960, 2.850732, 1.663429, 1.645349, 1.398245, 0.864863, 0.714190, 0.714190, 0.852809
1024, 2.816643, 1.630093, 1.621618, 1.375832, 0.827760, 0.675203, 0.675203, 0.807984
1088, 2.794540, 1.605997, 1.598020, 1.358716, 0.800339, 0.670052, 0.648780, 0.755137
1152, 2.772382, 1.572021, 1.577044, 1.340989, 0.778477, 0.635338, 0.610225, 0.713185
1216, 2.752557, 1.565413, 1.555897, 1.320371, 0.751779, 0.620931, 0.590004, 0.699440
1280, 2.736974, 1.552685, 1.532344, 1.292774, 0.741311, 0.578584, 0.567284, 0.662208
1344, 2.727181, 1.528254, 1.519644, 1.276415, 0.718925, 0.561795, 0.544575, 0.645741
1408, 2.705949, 1.518373, 1.510154, 1.261544, 0.700629, 0.550641, 0.567078, 0.618444
1472, 2.698356, 1.501489, 1.487732, 1.253861, 0.693751, 0.532596, 0.507047, 0.587625
1536, 2.683862, 1.487895, 1.484129, 1.248702, 0.668611, 0.517938, 0.491571, 0.572557
1600, 2.675952, 1.480814, 1.468157, 1.224067, 0.656331, 0.500837, 0.482756, 0.562311
1664, 2.665173, 1.474277, 1.458630, 1.215235, 0.644996, 0.492005, 0.469404, 0.540684
1728, 2.655192, 1.468224, 1.446460, 1.212080, 0.634501, 0.477131, 0.457041, 0.537400
1792, 2.647539, 1.448075, 1.441617, 1.199464, 0.626369, 0.481077, 0.440718, 0.508521
1856, 2.641972, 1.438667, 1.443343, 1.204864, 0.607887, 0.467606, 0.430197, 0.503456
1920, 2.632257, 1.432900, 1.426873, 1.182783, 0.632826, 0.444485, 0.424898, 0.482153
1984, 2.626084, 1.426047, 1.421672, 1.178165, 0.591999, 0.447645, 0.412649, 0.479723
2048, 2.613234, 1.426685, 1.413972, 1.171011, 0.589037, 0.437893, 0.405404, 0.457669
2112, 2.612121, 1.412217, 1.405368, 1.164291, 0.578036, 0.428733, 0.394489, 0.450649
2176, 2.607085, 1.401259, 1.397270, 1.173920, 0.575659, 0.425430, 0.392193, 0.441383
2240, 2.602337, 1.411590, 1.396093, 1.157168, 0.566961, 0.411983, 0.379696, 0.430064
2304, 2.596597, 1.402514, 1.387447, 1.151393, 0.565024, 0.401795, 0.379194, 0.419373
2368, 2.591168, 1.390263, 1.387820, 1.143486, 0.554639, 0.401930, 0.368945, 0.411704
2432, 2.586024, 1.388174, 1.377468, 1.139563, 0.551939, 0.392543, 0.362805, 0.402059
2496, 2.583462, 1.379237, 1.376919, 1.140478, 0.548218, 0.385955, 0.359297, 0.394068
2560, 2.577638, 1.385438, 1.369617, 1.131177, 0.541293, 0.386476, 0.354835, 0.388736
2624, 2.572098, 1.373696, 1.369286, 1.126740, 0.534705, 0.372640, 0.348385, 0.382562
2688, 2.570050, 1.375429, 1.363590, 1.128971, 0.531660, 0.376682, 0.342243, 0.380987
2752, 2.565996, 1.369722, 1.361313, 1.120586, 0.526655, 0.362666, 0.337437, 0.370025
2816, 2.564180, 1.362221, 1.355029, 1.124911, 0.521876, 0.361615, 0.329768, 0.369834
2880, 2.561440, 1.365097, 1.359070, 1.116989, 0.528360, 0.358602, 0.330476, 0.362620
2944, 2.558820, 1.357039, 1.354091, 1.116290, 0.511961, 0.355719, 0.325257, 0.356702
3008, 2.557273, 1.358942, 1.349324, 1.116583, 0.513570, 0.350074, 0.321222, 0.349112
3072, 2.550140, 1.347581, 1.350406, 1.109330, 0.510405, 0.348431, 0.321122, 0.346548
3136, 2.550678, 1.349599, 1.346832, 1.113442, 0.508291, 0.345010, 0.317336, 0.344088
3200, 2.557523, 1.350632, 1.347016, 1.110158, 0.505357, 0.355287, 0.311893, 0.337206
