size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
15, 46.672713, 39.536802, 38.572490, 38.572490, 66.730408, 56.701561, 56.894423, 63.837471
30, 17.164758, 17.550483, 16.875464, 18.611227, 38.572490, 22.661338, 21.407732, 25.072119
45, 11.764610, 11.378885, 10.993160, 10.736010, 25.522131, 13.371797, 16.007583, 16.071871
60, 11.234238, 8.727026, 9.064535, 8.196654, 18.129070, 9.691338, 12.536059, 12.825353
75, 7.945933, 7.213056, 6.904476, 6.673041, 312.128591, 7.791643, 9.720268, 12.073189
90, 7.135911, 6.332317, 6.139455, 5.850161, 6.621611, 6.493036, 8.164510, 9.932416
105, 6.336909, 5.400149, 5.152183, 4.959320, 5.675666, 5.510356, 8.293085, 8.430844
120, 5.906413, 4.942100, 4.773346, 4.508160, 4.701022, 4.917992, 7.256450, 7.714498
135, 5.850161, 4.392978, 4.350120, 4.135828, 4.564411, 4.307261, 6.343032, 7.264486
150, 5.168714, 4.165829, 4.069398, 3.760818, 3.857249, 4.725130, 5.882305, 6.595896
