size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
64, 12.703236, 9.945594, 9.900386, 10.307252, 14.601940, 11.482640, 11.753883, 13.743002
128, 5.763924, 4.882382, 4.588535, 4.498121, 9.470918, 5.085815, 4.927590, 6.306411
192, 4.550863, 3.435751, 3.360405, 3.194645, 6.570119, 3.028885, 3.360405, 4.068652
256, 4.079954, 2.881962, 2.859358, 2.848056, 5.334455, 2.373380, 2.305569, 3.062791
320, 3.697953, 2.531606, 2.522564, 2.305569, 74.908403, 1.943911, 1.934870, 2.450233
384, 3.511096, 2.343242, 2.305569, 2.079533, 1.996653, 1.710341, 1.634995, 2.049395
448, 3.325962, 2.163490, 2.144115, 1.918079, 1.808290, 1.485381, 1.459548, 1.724333
512, 3.243620, 2.051279, 2.028675, 1.780035, 1.650064, 1.333614, 1.299708, 1.553999
576, 3.134369, 1.953958, 1.928842, 1.748013, 1.547092, 1.240688, 1.190457, 1.411471
640, 3.069572, 1.880621, 1.862538, 1.622940, 1.460194, 1.148264, 1.103057, 1.292927
704, 3.004227, 1.804180, 1.800070, 1.565815, 1.458961, 1.068535, 1.031547, 1.208266
768, 2.961074, 1.766850, 1.751781, 1.510675, 1.322312, 1.002094, 0.960654, 1.111345
832, 2.921083, 1.728308, 1.707443, 1.488362, 1.272758, 0.952830, 0.918055, 1.039767
896, 2.886805, 1.692043, 1.669439, 1.449861, 1.298094, 0.904145, 0.862167, 0.968727
960, 2.845043, 1.657599, 1.645544, 1.452659, 1.190457, 0.867979, 0.816744, 0.946338
1024, 2.822627, 1.633112, 1.621810, 1.384472, 1.164087, 0.841985, 0.779825, 0.881541
1088, 2.797531, 1.600868, 1.590231, 1.353558, 1.138159, 0.819049, 0.757886, 0.856278
1152, 2.787780, 1.582254, 1.572207, 1.333614, 1.107577, 0.783592, 0.738385, 0.808707
1216, 2.755263, 1.601288, 1.551322, 1.327665, 1.082595, 0.761385, 0.716178, 0.780420
1280, 2.739559, 1.548348, 1.539307, 1.297448, 1.066891, 0.750440, 0.691671, 0.757221
1344, 2.755489, 1.530588, 1.521977, 1.278719, 1.050530, 0.734080, 0.671650, 0.734080
1408, 2.710380, 1.516498, 1.504168, 1.267858, 1.037712, 0.702767, 0.659615, 0.704822
1472, 2.702607, 1.537046, 1.493805, 1.257941, 1.016180, 0.693833, 0.632901, 0.693833
1536, 2.693598, 1.493723, 1.486188, 1.246966, 1.003978, 0.679992, 0.632901, 0.678109
1600, 2.685310, 1.491839, 1.480989, 1.247720, 0.990943, 0.663642, 0.611202, 0.652793
1664, 2.668966, 1.486623, 1.477929, 1.237983, 0.987604, 0.657244, 0.594649, 0.641595
1728, 2.665553, 1.476770, 1.468398, 1.233990, 0.977816, 0.654668, 0.584345, 0.642947
1792, 2.665613, 1.478923, 1.474079, 1.241585, 0.976799, 0.703941, 0.582851, 0.658734
1856, 2.676581, 1.493398, 1.482486, 1.261126, 0.986765, 0.670314, 0.604842, 0.656284
1920, 2.674762, 1.485811, 1.473756, 1.258268, 0.974970, 0.708247, 0.614819, 0.669067
1984, 2.673061, 1.474339, 1.464131, 1.265803, 0.968310, 0.737899, 0.611027, 0.660609
2048, 2.654513, 1.466410, 1.462172, 1.264390, 0.964892, 0.767110, 0.631489, 0.672458
2112, 2.652158, 1.453481, 1.454851, 1.224705, 0.961681, 0.778113, 0.634271, 0.683588
2176, 2.645953, 1.445302, 1.446632, 1.240540, 0.941374, 0.811071, 0.656835, 0.692735
2240, 2.637520, 1.446632, 1.436299, 1.239970, 0.942894, 0.829230, 0.678109, 0.688442
2304, 2.630810, 1.435330, 1.435330, 1.249478, 0.936795, 0.836334, 0.688155, 0.689410
2368, 2.628129, 1.423417, 1.427083, 1.249919, 0.940799, 0.838167, 0.700101, 0.690327
2432, 2.619641, 1.422839, 1.421649, 1.245579, 0.927938, 0.847041, 0.660264, 0.675729
2496, 2.612747, 1.419971, 1.413016, 1.237983, 0.959785, 0.827640, 0.673472, 0.658403
2560, 2.607328, 1.412726, 1.410466, 1.225116, 0.910926, 0.819381, 0.657765, 0.665677
2624, 2.607686, 1.410245, 1.405835, 1.222801, 0.907453, 0.817038, 0.670390, 0.651646
2688, 2.602646, 1.403577, 1.400348, 1.216290, 0.907374, 0.809425, 0.657658, 0.646894
2752, 2.597840, 1.402476, 1.414041, 1.205877, 0.900991, 0.805320, 0.633953, 0.640261
2816, 2.595307, 1.396287, 1.395260, 1.204157, 0.889761, 0.795237, 0.633929, 0.630847
2880, 2.589873, 1.386355, 1.390374, 1.211554, 0.899122, 0.782588, 0.639934, 0.622855
2944, 2.588606, 1.389631, 1.388649, 1.187182, 0.886455, 0.781299, 0.649608, 0.637815
3008, 2.582584, 1.380264, 1.380264, 1.197511, 0.874327, 0.780065, 0.617512, 0.611741
3072, 2.578697, 1.378821, 1.379763, 1.184807, 0.878716, 0.781709, 0.666807, 0.619716
3136, 2.577736, 1.382050, 1.370979, 1.181847, 0.870931, 0.772214, 0.625521, 0.604301
3200, 2.573196, 1.386958, 1.370684, 1.179909, 0.870692, 0.773948, 0.605777, 0.583173
