size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
15, 49.758524, 39.151087, 37.993912, 38.572499, 57.473024, 46.479861, 51.108561, 53.037186
30, 16.586175, 17.261193, 17.839781, 19.093387, 36.643874, 19.189818, 21.214875, 22.468481
45, 11.636037, 11.121737, 10.928875, 11.057450, 24.107812, 12.214625, 13.886100, 17.229050
60, 9.353831, 8.919890, 8.485950, 8.437734, 18.418368, 9.546694, 10.848515, 12.343200
75, 7.868790, 7.135912, 7.058767, 6.827332, 15.583290, 7.753072, 8.370232, 9.758842
90, 7.039481, 5.914450, 5.914450, 5.657300, 6.685900, 6.557325, 7.007337, 8.485950
105, 6.309359, 5.537909, 5.345046, 4.959321, 5.510357, 5.703220, 6.006289, 6.722636
120, 6.268031, 4.893886, 4.749239, 4.508161, 5.086748, 5.159072, 5.231395, 6.268031
135, 5.528725, 4.500125, 4.392979, 4.028683, 4.478696, 4.414408, 4.714417, 5.528725
150, 5.226574, 4.050112, 4.088685, 3.780105, 3.972967, 3.992254, 4.185116, 5.284432
