size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
17, 43.393983, 34.034497, 33.864324, 36.416911, 48.839503, 38.288809, 40.841396, 48.158813
34, 14.805006, 15.060265, 15.485696, 14.379575, 31.822254, 18.889146, 18.378628, 23.483803
51, 10.720866, 10.720866, 10.834315, 10.437246, 21.611905, 12.819660, 12.025522, 14.691558
68, 8.593710, 7.572676, 7.700305, 7.359960, 16.464188, 9.274400, 9.444573, 10.678323
85, 7.317417, 6.943037, 6.126209, 5.887968, 284.732599, 7.011106, 7.657762, 8.678797
102, 6.551641, 5.388795, 5.530606, 5.133537, 5.615692, 5.672416, 6.211296, 6.977072
119, 5.883106, 4.862071, 4.813450, 4.497416, 5.129485, 4.886381, 5.299657, 6.199140
136, 5.466791, 4.360670, 4.339398, 4.254312, 4.445756, 4.424485, 4.743558, 5.317890
153, 5.086266, 4.121956, 3.932875, 3.687070, 4.046323, 4.027415, 4.235404, 5.313163
170, 4.832899, 3.709760, 3.709760, 3.386432, 3.590639, 3.539588, 3.879933, 4.305364
