size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
14, 47.940100, 41.947588, 42.360864, 40.914396, 60.751679, 51.246314, 68.603937, 57.032188
28, 17.564261, 17.150984, 17.874218, 20.457198, 40.811077, 22.110305, 22.730220, 23.246816
42, 12.398302, 11.296231, 11.433989, 11.640628, 25.760916, 13.775891, 14.740203, 17.908658
56, 9.815322, 8.833790, 10.641876, 9.608684, 19.320687, 10.435237, 11.106812, 13.069876
70, 8.265535, 7.314998, 7.273670, 7.067032, 337.357792, 8.430845, 8.926777, 10.207935
84, 7.473421, 6.336910, 6.061392, 6.061392, 7.129024, 6.887945, 7.680059, 8.988769
98, 6.612428, 5.579236, 5.520196, 5.343078, 5.874433, 5.962993, 6.228671, 7.468501
112, 6.121662, 5.088470, 4.985151, 4.752682, 5.269278, 4.985151, 5.346768, 6.664087
126, 5.716995, 4.637883, 4.523084, 4.477165, 4.683803, 4.523084, 5.074120, 5.831794
140, 5.434589, 4.277414, 4.194759, 3.926129, 4.298078, 4.112103, 4.587372, 5.351934
