length, serial, threads = 2, threads = 4
15, 173843, 745308, 485399
20, 125680, 224880, 385862
25, 190054, 228607, 313066
30, 289614, 241332, 235155
35, 374935, 338383, 296371
40, 564412, 424899, 309421
45, 671996, 509721, 297363
50, 770712, 459130, 532625
55, 982061, 569722, 376411
60, 1159823, 679188, 425899
65, 1287370, 769404, 486480
70, 1638137, 890859, 513943
75, 1789320, 1032556, 593360
80, 1968647, 1130399, 678605
85, 2316427, 1256906, 724077
90, 2598220, 1452015, 791453
95, 2874949, 1583797, 917319
100, 3238879, 1697651, 1003307
105, 3545273, 1946024, 1060857
110, 3827376, 2136899, 1191076
115, 4274283, 2283535, 2435701
120, 4591259, 2445390, 2635853
125, 5005542, 2798123, 1532110
130, 5388527, 2981771, 3077772
135, 5812612, 3111389, 1775304
140, 6236423, 3462089, 1838376
145, 6652333, 3588184, 1948086
150, 7177152, 4122164, 2053507
155, 7723842, 4766016, 4243694
160, 8207504, 5038303, 5259367
165, 8722823, 5371417, 6757127
170, 9196404, 5724194, 7239699
175, 9736230, 6805258, 3976149
180, 10314635, 7176734, 9173552
185, 10942378, 7554908, 5070650
190, 11524469, 8956931, 5223152
195, 12095885, 9426496, 6761454
200, 12813128, 12116287, 3789328
205, 13432356, 13353673, 3963142
210, 14113276, 14693180, 4084380
215, 14776326, 17331006, 4267671
220, 15435319, 20786811, 4451607
225, 16146132, 24885100, 4674092
230, 16903232, 15060027, 4839508
235, 17596132, 9232709, 5046345
240, 18354259, 9558994, 5275955
245, 19203106, 10025964, 5491016
250, 19866989, 10504374, 5742272
255, 20757112, 12665573, 5890245
260, 21486050, 14023704, 6124573
265, 22292639, 16435425, 6391072
270, 23264487, 20571355, 6555835
275, 24134991, 25168264, 6818451
280, 24928350, 26468833, 7067227
285, 25868548, 35750492, 7362665
290, 26766280, 14030481, 7538329
295, 27669630, 14404610, 14938088
300, 28774310, 14899782, 8264840
305, 29779514, 15452476, 9746952
310, 30661760, 15781257, 9845560
315, 31699842, 16329331, 8900517
320, 32658303, 16931142, 9171366
325, 33756629, 17403932, 9424098
330, 34714754, 19268345, 9699447
335, 35734188, 18489202, 10091669
340, 36915144, 19022242, 10339787
345, 37949539, 19623340, 10581105
350, 39077404, 20102646, 16475764
355, 40131951, 20761787, 12766568
360, 41370324, 27401636, 13673563
365, 42473179, 36501841, 11868743
370, 43656518, 22458455, 12181609
375, 44857907, 22999929, 12482000
380, 46032268, 23612794, 12793236
385, 47160119, 24311016, 24746677
390, 48446292, 32377456, 13548394
395, 49790651, 42435047, 13768973
400, 51029963, 30716808, 14128681
405, 52300482, 26772095, 14688995
410, 53646505, 29449616, 15000803
415, 55111730, 41960001, 15205601
420, 56266342, 32925909, 15613339
425, 57680826, 29529841, 16020452
430, 59053665, 32731656, 16282267
435, 60317732, 46364390, 16678230
440, 61734721, 38709898, 17183602
445, 63254385, 37616219, 17434837
450, 64632740, 32953506, 33719451
455, 66023198, 42434305, 18272119
460, 67417834, 43150463, 18642548
465, 68974162, 42727034, 19067627
470, 70657081, 35975889, 19429144
475, 71928546, 46231576, 35255929
480, 73606158, 47003336, 20286874
485, 75280627, 47829523, 20715288
490, 76776221, 39207683, 21134646
495, 78045504, 49463197, 35888822
500, 79900338, 51902802, 22127174
505, 81433635, 41484123, 22467605
510, 82991385, 42318177, 22856761
515, 84591831, 43155717, 23301601
520, 86063766, 44012728, 23735656
525, 87816642, 44891921, 24286728
530, 89411596, 45863578, 37161583
535, 91281670, 46573599, 25353412
540, 92952635, 47510853, 25602580
545, 95004829, 57836208, 26110811
550, 96680115, 62912887, 26497682
555, 98275698, 63859914, 27048192
560, 99975693, 51044880, 44573461
565, 101841089, 66640697, 28033708
570, 103502229, 67335268, 28471649
575, 106097126, 65793523, 28969155
580, 107286683, 54559959, 29478273
585, 109204870, 70301460, 30031460
590, 111536702, 72958904, 47613893
595, 112898951, 57588307, 31034932
600, 115353476, 74728017, 31463958
605, 116662902, 76614917, 32099734
610, 118899286, 60704467, 32560112
615, 120776888, 78415019, 33098190
620, 122891528, 62456563, 53586191
625, 124701748, 63625614, 34214420
630, 126901506, 64580572, 34787657
635, 128936505, 65533979, 35217278
640, 130590616, 86152680, 35865932
645, 132719100, 84741140, 36487483
650, 134703361, 68983544, 36953859
655, 137145944, 69923231, 37584922
660, 138916812, 70834866, 38144137
665, 141067626, 86583165, 38708243
670, 143270672, 72941101, 39236637
675, 145388597, 95377653, 39782817
680, 147589212, 75403108, 40411030
685, 149614607, 76346388, 77327427
690, 151957256, 99545881, 41659552
695, 154178328, 78466051, 42369620
700, 156389135, 99406075, 42774886
705, 158378190, 80807699, 46389145
710, 160861695, 82199076, 44062231
715, 163399922, 83211837, 44843053
720, 165601663, 84519290, 45408408
725, 167838149, 85475699, 45951654
730, 170683380, 108839021, 46663540
735, 172506763, 88274013, 47259330
740, 175167557, 89012411, 47992320
745, 177003222, 90199367, 48622011
750, 179700567, 91435753, 49172397
755, 181926619, 113936716, 49851553
760, 184533832, 93913373, 50491676
765, 187057560, 94985329, 51359803
770, 189124314, 96483316, 51945174
775, 191608826, 97725104, 52625621
780, 194064476, 99024357, 53269934
785, 196803164, 100100967, 53905095
790, 199419819, 101606105, 54847763
795, 201719560, 102958932, 55402006
800, 204326025, 104153610, 56013415
805, 206882253, 105536304, 56779329
810, 209558309, 106929365, 57378402
815, 212007371, 108255555, 58209313
820, 214630745, 109391685, 59165536
825, 217250962, 110946109, 59653501
830, 219982707, 113025609, 60334543
835, 222626463, 113497700, 60958171
840, 225206204, 114940905, 61903075
845, 227876550, 116241854, 62384950
850, 230863362, 117576587, 63413403
855, 233673337, 118899939, 64088254
860, 236460107, 120557642, 64843623
865, 238855057, 121959195, 65590335
870, 242021637, 123356456, 66628607
875, 244862393, 124757112, 66991177
880, 247929827, 126447827, 67747340
885, 252970511, 127811244, 68726717
890, 253055061, 129113672, 69420452
895, 256351474, 130535191, 70169226
900, 259067002, 131792547, 70882287
905, 262820254, 133367746, 71636971
910, 265000782, 135000278, 72377376
915, 267721129, 136486699, 73282341
920, 270360225, 138157960, 74104871
925, 273867520, 139449397, 74793717
930, 276756204, 140867946, 75900122
935, 279844185, 142558458, 76537487
940, 282553951, 144013356, 77323732
945, 285681514, 145615933, 78185725
950, 288290748, 147728926, 79039157
955, 291596800, 148562650, 79701828
960, 294804635, 150162722, 80748194
965, 298102513, 151627375, 81452923
970, 301147640, 153427576, 82310360
975, 304318663, 154921819, 83129558
980, 307031639, 156545053, 84238997
985, 310318017, 158113457, 85055306
990, 313349535, 160430383, 85878393
995, 316620689, 161311954, 86563364
1000, 319836705, 163001726, 87427303
1005, 323037435, 164430800, 88360253
1010, 325813753, 166562190, 89228971
1015, 329830508, 168074838, 90145827
1020, 332384294, 169768647, 90914446
1025, 336210801, 171194229, 92685331
1030, 339306565, 173207624, 92759188
1035, 342434636, 174538561, 93766367
1040, 345963335, 176468549, 94850665
1045, 348824493, 178083101, 95585655
1050, 352918124, 179942996, 96726144
1055, 355937018, 181617514, 97632029
1060, 359598503, 183294502, 98385086
1065, 362803113, 184912117, 99416993
1070, 365878813, 187194144, 100119043
1075, 369677505, 188402429, 101138894
1080, 373091574, 189971286, 102073860
1085, 376804281, 204576985, 103063471
1090, 380033811, 202605298, 104266446
1095, 383100463, 203520378, 105162389
1100, 388868772, 197473136, 105885278
1105, 390616393, 199337131, 106704917
1110, 394234958, 200946118, 107720485
1115, 397283562, 202968981, 108799969
1120, 401284701, 204396405, 109598867
1125, 404927817, 206381875, 110853723
1130, 409011873, 208304424, 111640560
1135, 412023349, 210411251, 112659637
1140, 415525838, 212241325, 113784133
1145, 419173960, 213863492, 115344994
1150, 423127318, 215885442, 115579610
1155, 426962354, 217694532, 116772852
1160, 430286511, 219741949, 117682324
1165, 434301265, 222022097, 118727574
1170, 437605064, 223189953, 119615334
1175, 441687040, 225154799, 120836509
1180, 445368152, 227136241, 121867770
1185, 449601772, 229630459, 122800485
1190, 452626516, 230965645, 123748109
1195, 456776793, 232773496, 124702659
1200, 461331704, 234951828, 126173194
1205, 464937483, 236716136, 127067641
1210, 468903589, 238512817, 127935095
1215, 472227123, 240395804, 129104047
1220, 476308104, 242721381, 130379423
1225, 480102557, 244514497, 131209989
1230, 487515375, 247926353, 132365520
1235, 492669237, 248826693, 133437749
1240, 504974906, 251179405, 134622692
1245, 519322496, 253555476, 135638904
1250, 509863856, 255103421, 136922447
1255, 498045541, 256712474, 137631013
1260, 501241243, 258788776, 138796908
1265, 507081677, 260740600, 139783746
1270, 524158644, 262962154, 141298210
1275, 514623481, 264691360, 142094707
1280, 519101374, 266908961, 143536233
1285, 523797054, 269172159, 144504140
1290, 527290017, 271342127, 145887765
1295, 531571922, 273497779, 146601693
1300, 535672197, 274953492, 148218994
1305, 539740077, 277654291, 149127503
1310, 542671649, 279643531, 150208936
1315, 548223859, 281787791, 151477042
1320, 552241626, 284572971, 185284433
1325, 556015750, 286856095, 153542747
1330, 560681565, 288153427, 154813136
1335, 564819439, 290692421, 155770536
1340, 568496744, 293161220, 156979911
1345, 573772415, 294584163, 158357881
1350, 578184263, 297566282, 159381204
1355, 581321399, 299517231, 160590924
1360, 586623249, 301676841, 161981512
1365, 590401612, 303716246, 162765469
1370, 594608523, 305948784, 164343768
1375, 596204866, 307700857, 165475073
1380, 601027186, 310624953, 166334464
1385, 604847301, 312697624, 167608884
1390, 611805915, 315184797, 168786119
1395, 617507898, 317960355, 170182788
1400, 621308406, 319821845, 171451706
