Omega, iterations to converge (10 trials)
0.40, 936, 1135, 1190, 913, 1278, 1138, 1071, 1258, 1136, 1176
0.42, 1139, 1095, 1178, 1070, 1207, 1123, 1009, 1145, 1130, 758
0.44, 754, 1059, 1183, 1108, 1151, 1032, 801, 1077, 955, 1153
0.46, 908, 869, 823, 936, 895, 957, 1047, 812, 964, 1085
0.49, 673, 964, 944, 927, 960, 779, 838, 921, 817, 758
0.51, 961, 920, 645, 925, 931, 866, 794, 670, 874, 791
0.54, 815, 838, 564, 798, 683, 836, 791, 866, 824, 826
0.56, 796, 818, 613, 786, 815, 754, 776, 752, 803, 788
0.59, 668, 722, 731, 672, 833, 594, 682, 705, 675, 651
0.62, 630, 736, 586, 579, 621, 722, 521, 547, 590, 739
0.65, 561, 444, 605, 707, 542, 588, 584, 693, 708, 666
0.68, 578, 454, 566, 641, 586, 611, 570, 577, 551, 442
0.72, 555, 573, 471, 550, 349, 526, 568, 537, 459, 543
0.75, 455, 421, 459, 571, 541, 545, 517, 530, 532, 512
0.79, 285, 488, 304, 429, 474, 426, 507, 513, 509, 460
0.83, 429, 480, 429, 476, 460, 430, 406, 447, 482, 455
0.87, 275, 192, 412, 352, 428, 457, 316, 412, 354, 390
0.92, 347, 374, 378, 369, 372, 344, 387, 191, 373, 400
0.96, 340, 290, 335, 361, 342, 269, 314, 367, 353, 325
1.01, 276, 303, 306, 300, 309, 349, 294, 293, 334, 312
