Omega, iterations to converge (10 trials)
0.10, 19716, 22489, 24461, 14704, 15178, 29715, 23659, 31795, 22477, 29069
0.11, 21967, 23486, 19103, 21422, 26835, 26459, 27481, 27547, 27043, 17981
0.11, 23715, 26966, 25813, 27638, 22647, 25817, 23295, 23499, 23328, 20213
0.12, 20057, 17533, 25388, 17064, 24392, 11808, 23220, 22992, 23448, 21783
0.12, 11162, 17668, 21888, 10793, 18015, 24090, 17019, 22244, 18973, 21659
0.13, 20998, 18503, 21944, 15103, 19302, 17463, 17426, 22319, 21679, 11337
0.13, 19458, 23318, 21906, 20409, 22911, 19323, 18494, 17829, 22163, 19655
0.14, 16369, 18141, 19043, 10411, 19887, 18578, 10909, 14413, 15165, 15761
0.15, 17773, 15191, 10360, 7471, 14560, 9839, 18882, 20595, 16555, 14164
0.16, 16382, 14853, 13403, 12971, 14888, 15761, 18143, 15337, 12005, 14259
0.16, 15748, 8340, 18104, 15456, 14752, 13299, 17529, 15159, 17321, 15757
0.17, 16416, 15374, 15085, 15287, 13954, 10105, 15956, 14949, 15124, 12415
0.18, 13164, 13068, 8476, 8885, 13218, 16040, 15066, 7279, 11401, 12549
0.19, 9014, 6901, 9934, 13618, 13172, 12896, 13728, 11225, 9494, 12271
0.20, 12208, 12995, 12629, 7035, 14252, 14388, 11362, 11505, 15231, 14703
0.21, 10994, 8490, 10607, 10020, 12100, 11275, 8805, 7410, 10498, 11601
0.22, 11242, 12094, 12620, 10080, 7612, 7516, 11041, 11782, 9310, 10327
0.23, 8698, 11105, 10779, 12867, 11468, 8293, 5601, 8614, 8329, 10461
0.24, 10796, 10883, 9481, 10665, 8991, 9642, 10774, 8915, 10595, 3757
0.25, 10446, 7677, 8818, 8093, 8679, 9557, 9560, 9229, 8141, 9678
